Affairs,Gender,Age,MarriedAge,ChildNo,Regiousness,Edu,Occupation,Rating
3.0,male,27.0,1.5,no,3,18,4,4
3.0,female,27.0,4.0,yes,3,17,1,5
7.0,male,37.0,15.0,yes,5,18,6,2
12.0,female,32.0,10.0,yes,3,17,5,2
1.0,male,22.0,0.125,no,4,16,5,5
1.0,female,22.0,1.5,yes,2,14,1,5
12.0,male,37.0,15.0,yes,4,14,5,2
7.0,female,22.0,1.5,no,2,14,3,4
2.0,male,37.0,15.0,yes,2,18,6,4
3.0,female,32.0,15.0,yes,4,12,3,2
1.0,female,37.0,15.0,yes,4,14,4,2
7.0,female,42.0,15.0,yes,3,17,1,4
12.0,female,42.0,15.0,yes,5,9,4,1
12.0,male,37.0,10.0,yes,2,20,6,2
12.0,female,32.0,15.0,yes,3,14,1,2
3.0,male,27.0,4.0,no,1,18,6,5
7.0,male,37.0,10.0,yes,2,18,7,3
7.0,female,27.0,4.0,no,3,17,5,5
1.0,male,42.0,15.0,yes,4,16,5,5
1.0,female,47.0,15.0,yes,5,14,4,5
7.0,female,27.0,4.0,yes,3,18,5,4
1.0,female,27.0,7.0,yes,5,14,1,4
12.0,male,27.0,1.5,yes,3,17,5,4
12.0,female,27.0,7.0,yes,4,14,6,2
3.0,female,42.0,15.0,yes,4,16,5,4
7.0,female,27.0,10.0,yes,4,12,7,3
1.0,male,27.0,1.5,no,2,18,5,2
1.0,male,32.0,4.0,no,4,20,6,4
1.0,female,27.0,7.0,yes,3,14,1,3
3.0,female,32.0,10.0,yes,4,14,1,4
3.0,male,27.0,4.0,yes,2,18,7,2
1.0,female,17.5,0.75,no,5,14,4,5
1.0,female,32.0,10.0,yes,4,18,1,5
7.0,female,32.0,7.0,yes,2,17,6,4
7.0,male,37.0,15.0,yes,2,20,6,4
7.0,female,37.0,10.0,no,1,20,5,3
12.0,female,32.0,10.0,yes,2,16,5,5
7.0,male,52.0,15.0,yes,2,20,6,4
7.0,female,42.0,15.0,yes,1,12,1,3
1.0,male,52.0,15.0,yes,2,20,6,3
2.0,male,37.0,15.0,yes,3,18,6,5
12.0,female,22.0,4.0,no,3,12,3,4
12.0,male,27.0,7.0,yes,1,18,6,2
1.0,male,27.0,4.0,yes,3,18,5,5
12.0,male,47.0,15.0,yes,4,17,6,5
12.0,female,42.0,15.0,yes,4,12,1,1
7.0,male,27.0,4.0,no,3,14,3,4
7.0,female,32.0,7.0,yes,4,18,4,5
1.0,male,32.0,0.417,yes,3,12,3,4
3.0,male,47.0,15.0,yes,5,16,5,4
12.0,male,37.0,15.0,yes,2,20,5,4
7.0,male,22.0,4.0,yes,2,17,6,4
1.0,male,27.0,4.0,no,2,14,4,5
7.0,female,52.0,15.0,yes,5,16,1,3
1.0,male,27.0,4.0,no,3,14,3,3
1.0,female,27.0,10.0,yes,4,16,1,4
1.0,male,32.0,7.0,yes,3,14,7,4
7.0,male,32.0,7.0,yes,2,18,4,1
3.0,male,22.0,1.5,no,1,14,3,2
7.0,male,22.0,4.0,yes,3,18,6,4
7.0,male,42.0,15.0,yes,4,20,6,4
2.0,female,57.0,15.0,yes,1,18,5,4
7.0,female,32.0,4.0,yes,3,18,5,2
1.0,male,27.0,4.0,yes,1,16,4,4
7.0,male,32.0,7.0,yes,4,16,1,4
2.0,male,57.0,15.0,yes,1,17,4,4
7.0,female,42.0,15.0,yes,4,14,5,2
7.0,male,37.0,10.0,yes,1,18,5,3
3.0,male,42.0,15.0,yes,3,17,6,1
1.0,female,52.0,15.0,yes,3,14,4,4
2.0,female,27.0,7.0,yes,3,17,5,3
12.0,male,32.0,7.0,yes,2,12,4,2
1.0,male,22.0,4.0,no,4,14,2,5
3.0,male,27.0,7.0,yes,3,18,6,4
12.0,female,37.0,15.0,yes,1,18,5,5
7.0,female,32.0,15.0,yes,3,17,1,3
7.0,female,27.0,7.0,no,2,17,5,5
1.0,female,32.0,7.0,yes,3,17,5,3
1.0,male,32.0,1.5,yes,2,14,2,4
12.0,female,42.0,15.0,yes,4,14,1,2
7.0,male,32.0,10.0,yes,3,14,5,4
7.0,male,37.0,4.0,yes,1,20,6,3
1.0,female,27.0,4.0,yes,2,16,5,3
12.0,female,42.0,15.0,yes,3,14,4,3
1.0,male,27.0,10.0,yes,5,20,6,5
12.0,male,37.0,10.0,yes,2,20,6,2
12.0,female,27.0,7.0,yes,1,14,3,3
3.0,female,27.0,7.0,yes,4,12,1,2
3.0,male,32.0,10.0,yes,2,14,4,4
12.0,female,17.5,0.75,yes,2,12,1,3
12.0,female,32.0,15.0,yes,3,18,5,4
2.0,female,22.0,7.0,no,4,14,4,3
1.0,male,32.0,7.0,yes,4,20,6,5
7.0,male,27.0,4.0,yes,2,18,6,2
1.0,female,22.0,1.5,yes,5,14,5,3
12.0,female,32.0,15.0,no,3,17,5,1
12.0,female,42.0,15.0,yes,2,12,1,2
7.0,male,42.0,15.0,yes,3,20,5,4
12.0,male,32.0,10.0,no,2,18,4,2
12.0,female,32.0,15.0,yes,3,9,1,1
7.0,male,57.0,15.0,yes,5,20,4,5
12.0,male,47.0,15.0,yes,4,20,6,4
2.0,female,42.0,15.0,yes,2,17,6,3
12.0,male,37.0,15.0,yes,3,17,6,3
12.0,male,37.0,15.0,yes,5,17,5,2
7.0,male,27.0,10.0,yes,2,20,6,4
2.0,male,37.0,15.0,yes,2,16,5,4
12.0,female,32.0,15.0,yes,1,14,5,2
7.0,male,32.0,10.0,yes,3,17,6,3
2.0,male,37.0,15.0,yes,4,18,5,1
7.0,female,27.0,1.5,no,2,17,5,5
